id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km,diametre_moyen_km,distance_lunaire
54340314,(2023 BP6),False,0.0451393163,0.1009345797,68500.4863602622,58948924.25643756,0.073036948,153.35308079198117
54465300,(2024 PD),False,0.0328514828,0.0734581487,47133.8344726286,32392379.93704712,0.05315481575,84.26737756776046
54503849,(2024 XM5),False,0.086011194,0.1923268766,45304.1430728065,19042917.09809693,0.1391690353,49.53932647787963
54503194,(2024 XE3),False,0.0375452479,0.0839537266,18219.3006139865,7813953.547196045,0.06074948725,20.32766271382946
54516466,(2025 AA5),False,0.0268259417,0.0599846292,14607.5818723986,16643538.44813957,0.04340528545,43.29744653522261
54516462,(2025 BD1),False,0.0030800302,0.0068871569,26041.056435773,648258.13479006,0.00498359355,1.6864155431583245
54516180,(2025 BF),False,0.0298232505,0.0666868155,30229.3550236576,4781450.830967176,0.048255032999999996,12.438737853712736
54516185,(2025 BL),False,0.0212106988,0.0474285643,24655.607721078,2180524.461000646,0.03431963155,5.67254022112551
54516188,(2025 BO),False,0.0128989683,0.02884297,37170.1125528343,5738329.221969366,0.02087096915,14.928015665893252
3370495,(2007 EA26),False,0.1788771952,0.3999815682,39846.6923753916,21123091.54725817,0.2894293817,54.95081047673821
3739391,(2016 AH65),False,0.0183888672,0.0411187571,49202.0769766561,36314173.81867663,0.02975381215,94.46975499135439
3767164,(2017 BO30),False,0.04411182,0.0986370281,47464.8826739897,35787058.707591526,0.07137442405,93.09848779290199
54159405,(2021 LH6),False,0.0735453089,0.1644523102,99457.2914434074,11707963.768334052,0.11899880955,30.457762144469438
54168304,(2021 NM4),False,0.0278326768,0.0622357573,42374.3449251971,57815222.63419472,0.04503421705,150.40380497969488
54330917,(2022 WX10),False,0.0062309602,0.0139328506,48361.7620227456,42118893.40848861,0.0100819054,109.5704823321764
54375585,(2023 OS),False,0.0350392641,0.0783501764,39140.7995245846,6335217.647290115,0.05669472025,16.480795128226106
54416958,(2023 XO14),False,0.0039134066,0.0087506433,54948.8031231607,73014318.50447418,0.006332024949999999,189.94359652568724
54509168,(2024 YJ4),False,0.0530340723,0.1185877909,31668.0642018377,10836741.332867753,0.0858109316,28.19131460163307
54510171,(2024 YX6),False,0.0262153087,0.0586192124,23803.3999111978,15848450.228341317,0.04241726055,41.22905886665275
54510164,(2024 YG6),False,0.0360209346,0.0805452583,26054.4831624625,13202264.339267544,0.05828309645,34.345120549603394
54513661,(2025 AH),False,0.037201031,0.0831840342,70671.3371368211,11873808.565407531,0.0601925326,30.889200222184005
54517240,(2025 BE3),False,0.1669379118,0.3732845187,89969.1462446044,17785406.468507852,0.27011121525000004,46.267966879572974
54516190,(2025 BQ),False,0.0150853356,0.0337318359,42074.7297307679,4490354.79836216,0.02440858575,11.681464095635173
54516179,(2025 BE),False,0.0443154309,0.099092316,68564.2705510903,5010992.516153494,0.07170387345,13.03588063515477
54516189,(2025 BP),False,0.0086807046,0.0194106455,63446.6535191363,430122.987995502,0.014045675050000001,1.118946378760411
54577100,(2026 BN2),False,0.0325203324,0.072717674,45558.9864316264,11617807.08608028,0.0526190032,30.223223428928925
2506491,506491 (2003 UW29),True,0.193443872,0.4325536477,96974.4703454129,17371524.962223362,0.31299875985,45.19127201410864
3309857,(2005 YU128),False,0.0235806068,0.0527278398,25318.1380938953,7315337.907450606,0.0381542233,19.030535659340806
3459429,(2009 JR),True,0.138852907,0.310484539,35255.9647684223,20426799.92997703,0.22466872300000001,53.13943790316605
3690386,(2014 SD145),False,0.0110803882,0.0247765013,24076.0599167771,63564543.200627446,0.01792844475,165.36041415355734
3724104,(2015 NS13),False,0.2682594171,0.5998462923,41574.8093947034,12016268.208482826,0.4340528547,31.259802831641068
3843826,(2019 RP2),False,0.004411182,0.0098637028,12081.3799897366,30555004.61111053,0.0071374424,79.487525002889
3892657,(2019 VJ2),False,0.0160160338,0.0358129403,88958.0701581372,72046112.14388156,0.025914487049999997,187.42484948980635
54145465,(2021 JO6),False,0.0298232505,0.0666868155,68603.5526457074,63941052.15206875,0.048255032999999996,166.3398859315004
54281973,(2022 LT),False,0.0241298697,0.0539560289,25384.804199822,66926880.18325975,0.039042949300000004,174.10738861409925
54289714,(2022 NK),False,0.0093444765,0.0208948847,82489.1053841888,69697730.5999787,0.015119680600000001,181.31563631628174
54510159,(2024 YD6),False,0.0316632126,0.0708010957,28401.6347542416,15073459.554870768,0.05123215415,39.21295409695829
54511085,(2024 YO7),False,0.0252670754,0.0564988982,23828.5929841931,14088267.283646436,0.0408829868,36.65001894809166
54510154,(2024 YX5),False,0.0188171989,0.042076536,38251.6219654139,4462631.336053547,0.030446867449999998,11.60934270565439
54514034,(2025 AS),False,0.0350392641,0.0783501764,33264.0462600217,6177886.150842808,0.05669472025,16.071504034450594
54517681,(2025 BL6),False,0.0817626533,0.1828268509,71919.4665067535,14446569.725515127,0.1322947521,37.582127277614795
54516459,(2025 BA1),False,0.0080640828,0.0180318372,48460.088714035,274971.252192391,0.01304796,0.7153258381695916
54517722,(2025 BU6),False,0.0308003021,0.0688715693,31210.3437784152,4502777.25588909,0.0498359357,11.7137805824378
2803401,803401 (2015 NS13),False,0.2682594171,0.5998462923,41574.8094272809,12016268.447839418,0.4340528547,31.259803454316906
54576077,(2026 AW2),False,0.0354776608,0.0793304611,45533.1382582133,11700950.680027602,0.05740406095,30.4395178980947
