id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km
3761750,(2016 UP41),False,0.1170994827,0.2618424035,39290.4478630663,28375476.516803447
3785705,(2017 SS32),False,0.0732073989,0.1636967205,47372.5758887032,64725034.15119927
3888744,(2019 UV11),False,0.058150704,0.130028927,11592.5304087926,60303213.57783511
3661494,(2014 CE13),False,0.0404161533,0.0903732663,60500.3030265575,3434808.414131694
3743897,(2016 CO246),False,0.0183888672,0.0411187571,40223.1543096506,33031067.742581155
3759722,(2016 SZ1),False,0.0146067964,0.0326617897,50344.1390181985,21566261.578847636
3801945,(2018 FD),False,0.037201031,0.0831840342,85167.239920682,74076175.6748506
3837981,(2019 BV1),False,0.0046190746,0.0103285648,99997.1843893772,69260145.71510696
3838874,(2019 DB2),False,0.0192555078,0.0430566244,53181.6865340123,58518894.2135987
3370278,(2007 EK),False,0.0036690614,0.0082042706,79931.8339256855,68757446.62198243
3514798,(2010 FG81),False,0.065246163,0.1458948557,32261.5854414632,14630970.821900852
